1.0000000000000000e+00 -3.5247686436999992e-01 2.4284423318621734e+03 5.0722698380572847e+03
2.0000000000000000e+00 -6.0308830045252582e-01 9.2848420122627200e+00 3.7500586700715637e+01
4.0000000000000000e+00 -7.2342953880757044e-01 3.4890089081097211e-02 2.1741515661050079e-01
5.0000000000000000e+00 -4.2617999452956939e-01 1.5975412435593837e-02 3.9705505912649632e-02
7.0000000000000000e+00 6.3587418191134593e-01 4.8349962890474191e-03 1.0762117274495905e-03
8.0000000000000000e+00 -3.5099584072454011e-02 1.2751958927032246e-04 1.3679699131222299e-04
1.0000000000000000e+01 5.9072244195233847e-01 5.0900599147863319e-05 1.3096233744481608e-05
1.1000000000000000e+01 1.2835880599979572e-02 3.6427758356574341e-06 3.5504445180676744e-06
1.3000000000000000e+01 6.1138405762724957e-01 1.7798276467999818e-06 4.2923932066246655e-07
1.4000000000000000e+01 1.6890682675587329e-01 2.2422561830438463e-07 1.5942449506981717e-07
1.6000000000000000e+01 6.6930684993011458e-01 1.1011120284078788e-07 2.1813257716475945e-08
1.7000000000000000e+01 -7.1398010459672279e-01 1.8735890437801060e-09 1.1227520871237645e-08
1.9000000000000000e+01 -2.9905506640337032e-01 9.8441032908301377e-10 1.8243989850292660e-09
2.0000000000000000e+01 -9.4369963035507842e-01 2.6702739737806846e-11 9.2187858952227182e-10
2.2000000000000000e+01 -6.8271938800912324e-01 2.8688991836444075e-11 1.5215402694384624e-10
2.3000000000000000e+01 -9.1002759543644551e-01 3.1352933110885552e-12 6.6559260842431962e-11
2.5000000000000000e+01 -3.9867996271631911e-01 2.9630864000944504e-12 6.8921860550842657e-12
2.6000000000000000e+01 -7.4361315269772590e-02 2.8757113834279353e-12 3.3377527486724781e-12
2.8000000000000000e+01 -2.4811856359868065e-03 2.8314918072410392e-12 2.8455776704836685e-12
2.9000000000000000e+01 -1.1792834436647890e-04 2.8746690536696036e-12 2.8753471435598248e-12
